,level_0,index,open,close,high,low,volume,money,datetime,date,MACD,MACDsignal,MACDhist,RSI5,RSI12,RSI30,SAR,slowk,slowd,upper,middle,lower,MOM,opt,last_p,sar_diff_day
52,52,2019-06-27 14:10:00,13.7,13.69,13.71,13.65,2167300.0,29647611.0,2019-06-27 14:10:00,2019-06-27,0.012068116790734607,0.03216125357025895,-0.020093136779524345,17.794142751400162,39.416932790144685,53.37053033173933,13.789408753750001,11.664979757084822,12.275078722446978,13.781146250857457,13.734842903253188,13.68853955564892,-0.11000000000000121,-1.0,13.36,-0.215325
53,53,2019-06-27 14:15:00,13.68,13.7,13.71,13.68,1081100.0,14808073.0,2019-06-27 14:15:00,2019-06-27,0.007454317981945735,0.02721986645259631,-0.019765548470650575,27.164404397668186,41.846747127770136,54.02932492747835,13.761527003000001,20.211988304093143,13.884203028939629,13.757266312687701,13.718484873837753,13.679703434987804,-0.05000000000000071,-1.0,13.36,-0.215325
54,54,2019-06-27 14:20:00,13.69,13.72,13.72,13.69,1002200.0,13737458.0,2019-06-27 14:20:00,2019-06-27,0.0053500104481987165,0.02284589525171679,-0.017495884803518075,43.3169847011466,46.5260648540268,55.33492706301053,13.7392216024,33.68421052631544,21.853726195831143,13.73807029568038,13.708676418780882,13.679282541881385,-0.019999999999999574,-1.0,13.36,-0.215325
55,55,2019-06-27 14:25:00,13.72,13.71,13.72,13.69,812600.0,11134208.0,2019-06-27 14:25:00,2019-06-27,0.002842646876766608,0.018845245576726753,-0.016002598699960145,38.04391563034998,44.56988578057247,54.533822561114754,13.72137728192,39.999999999999865,31.298732943469492,13.723851443766291,13.70345536572652,13.683059287686747,-0.019999999999999574,-1.0,13.36,-0.215325
56,56,2019-06-27 14:30:00,13.71,13.71,13.72,13.68,878900.0,12040204.0,2019-06-27 14:30:00,2019-06-27,0.0008457934019769908,0.0152453551417768,-0.01439956173979981,38.04391563034997,44.56988578057247,54.53382256111474,13.65,42.22222222222243,38.63547758284592,13.721660603289653,13.70126452524152,13.680868447193387,0.010000000000001563,-1.0,13.36,-0.215325
57,57,2019-06-27 14:35:00,13.72,13.72,13.74,13.71,1249600.0,17145720.0,2019-06-27 14:35:00,2019-06-27,6.938918780363679e-05,0.012210161950982169,-0.012140772763178532,47.94509496849783,47.21126446051442,55.22748445926934,13.653500000000001,50.00000000000036,44.074074074074225,13.717071262822223,13.702104633286424,13.687138003750626,0.030000000000001137,-1.0,13.36,-0.1450262500000008
58,58,2019-06-27 14:40:00,13.73,13.75,13.75,13.71,1236500.0,16982404.0,2019-06-27 14:40:00,2019-06-27,0.0018534669209966381,0.010138822944985063,-0.008285356023988425,67.45116224070028,54.33316101683967,57.25154871078048,13.66215,70.00000000000027,54.07407407407436,13.737675927503957,13.70828205059479,13.678888173685621,0.05000000000000071,-1.0,13.36,-0.1450262500000008
59,59,2019-06-27 14:45:00,13.72,13.75,13.76,13.72,1878100.0,25808891.0,2019-06-27 14:45:00,2019-06-27,0.003230126490638696,0.00875708365411579,-0.005526957163477094,67.45116224070028,54.33316101683967,57.2515487107805,13.6753275,86.96969696969721,68.98989898989929,13.754191587898978,13.717530982343746,13.680870376788514,0.02999999999999936,-1.0,13.36,-0.1450262500000008
60,60,2019-06-27 14:50:00,13.75,13.75,13.76,13.73,1859400.0,25563133.0,2019-06-27 14:50:00,2019-06-27,0.004271895367246259,0.007860045996741883,-0.003588150629495624,67.45116224070027,54.33316101683968,57.2515487107805,13.692262,93.93939393939405,83.63636363636384,13.762161095184986,13.72728990364319,13.692418712101393,0.03999999999999915,-1.0,13.36,-0.1450262500000008
61,61,2019-06-27 14:55:00,13.75,13.74,13.76,13.74,1974200.0,27142657.0,2019-06-27 14:55:00,2019-06-27,0.004241692688037091,0.007136375335000925,-0.002894682646963834,54.2229786283193,51.33592970137566,56.31212135498435,13.7058096,85.60606060606091,88.83838383838406,13.758048936014413,13.734725128444978,13.711401320875543,0.02999999999999936,-1.0,13.36,-0.1450262500000008
62,62,2019-06-27 15:00:00,13.75,13.71,13.75,13.7,1596900.0,21908355.0,2019-06-27 15:00:00,2019-06-27,0.0017765288489091091,0.006064406037782561,-0.004287877188873452,31.244672174581854,43.4852528022689,53.58345050523632,13.76,67.80303030303102,82.44949494949533,13.766954863241011,13.735970996484781,13.70498712972855,-0.009999999999999787,-1.0,13.36,-0.1450262500000008
63,63,2019-06-28 09:35:00,13.73,13.68,13.73,13.67,2057300.0,28200016.0,2019-06-28 09:35:00,2019-06-28,-0.002568275057518221,0.004337869818722405,-0.006906144876240626,20.42512015597343,37.267855305958484,51.02568142365678,13.76,41.2037037037043,64.87093153759874,13.78370033719834,13.729147610418828,13.674594883639315,-0.07000000000000028,-1.0,13.36,-0.10227231250000024
64,64,2019-06-28 09:40:00,13.67,13.6,13.69,13.59,2501100.0,34081600.0,2019-06-28 09:40:00,2019-06-28,-0.012324821992098833,0.0010053314565581575,-0.01333015344865699,9.481171409562998,26.320342457457418,45.08840198862171,13.751,18.164488017429562,42.39040734138829,13.816274594865241,13.708497046186984,13.600719497508727,-0.15000000000000036,-1.0,13.36,-0.10227231250000024
65,65,2019-06-28 09:45:00,13.59,13.63,13.64,13.58,1371300.0,18646256.0,2019-06-28 09:45:00,2019-06-28,-0.0174352240406499,-0.002682779642883454,-0.014752444397766445,27.652083918187586,34.224653732270106,47.460011450631555,13.73,14.923747276688507,24.763979665940784,13.786443035073667,13.684149340256859,13.58185564544005,-0.11999999999999922,-1.0,13.36,-0.10227231250000024
66,66,2019-06-28 09:50:00,13.62,13.61,13.63,13.58,1312900.0,17853968.0,2019-06-28 09:50:00,2019-06-28,-0.022835849873096947,-0.006713393688926152,-0.016122456184170797,23.68923431987846,31.74765708612953,46.08725979333079,13.700000000000001,16.77559912854032,16.621278140886126,13.744204116461468,13.659729268139401,13.575254419817334,-0.13000000000000078,-1.0,13.36,-0.10227231250000024
67,67,2019-06-28 09:55:00,13.6,13.66,13.67,13.6,1064800.0,14519792.0,2019-06-28 09:55:00,2019-06-28,-0.02281826783443819,-0.00993436851802856,-0.012883899316409628,47.29362871394436,42.99884938819612,49.83948896834235,13.676,29.629629629629722,20.442992011619513,13.704528410503386,13.64439522499869,13.584262039493993,-0.05000000000000071,-1.0,13.36,-0.10227231250000024
68,68,2019-06-28 10:00:00,13.66,13.67,13.69,13.61,1273400.0,17379504.0,2019-06-28 10:00:00,2019-06-28,-0.021746734694925607,-0.012296841753407969,-0.009449892941517638,51.076847796227575,44.97781115223181,50.55152844842641,13.58,37.03703703703699,27.81408859840234,13.693636407040998,13.639083680261486,13.584530953481973,-0.009999999999999787,-1.0,13.36,-0.10227231250000024
69,69,2019-06-28 10:05:00,13.67,13.72,13.75,13.65,1596900.0,21877872.0,2019-06-28 10:05:00,2019-06-28,-0.01667078440391201,-0.013171630283508777,-0.0034991541204032316,66.2277474093764,53.738394857032375,53.933867468778566,13.5855,57.40740740740762,41.358024691358104,13.721714219047715,13.6464546681662,13.571195117284685,0.120000000000001,-1.0,13.36,0.17999999999999972
